               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.028354,            0.039643,              0.0251,             0.73146,             0.24602,             0.26154,             0.20183,            0.026479,            0.045736,             0.04117,           0.0098916,           0.0098916,           0.0098916
                  37,            0.028144,              0.0392,            0.024935,             0.78303,             0.23384,             0.26746,             0.20864,            0.026426,            0.045787,            0.040838,           0.0098854,           0.0098854,           0.0098854
                  38,            0.028681,            0.039643,            0.024504,             0.73783,             0.24339,             0.26828,             0.20918,            0.026514,            0.045479,            0.041347,           0.0098789,           0.0098789,           0.0098789
                  39,            0.028148,            0.039153,            0.023992,             0.74673,             0.24486,             0.27139,             0.20992,            0.026388,            0.046081,            0.041134,           0.0098723,           0.0098723,           0.0098723
                  40,            0.028338,            0.039252,            0.023868,             0.78987,             0.24191,             0.28318,             0.22284,            0.026607,            0.046913,            0.040841,           0.0098656,           0.0098656,           0.0098656
                  41,            0.028015,            0.039162,            0.023366,             0.75063,             0.25439,             0.28794,             0.22633,            0.026606,             0.04668,            0.040401,           0.0098586,           0.0098586,           0.0098586
                  42,            0.028258,            0.039365,            0.023005,             0.72736,             0.26795,             0.29266,             0.22957,            0.026373,            0.046123,            0.039843,           0.0098515,           0.0098515,           0.0098515
                  43,            0.027777,             0.03856,            0.022678,             0.74384,             0.25907,             0.29374,             0.23028,            0.026352,            0.046486,            0.040113,           0.0098442,           0.0098442,           0.0098442
                  44,            0.027899,            0.038877,            0.022395,             0.76855,             0.25229,             0.29562,             0.23181,            0.026429,            0.046272,            0.040407,           0.0098368,           0.0098368,           0.0098368
                  45,            0.028032,            0.038535,            0.022356,             0.73572,             0.27474,             0.30228,             0.23693,            0.026392,            0.046313,            0.040426,           0.0098291,           0.0098291,           0.0098291
                  46,            0.028091,            0.038819,            0.021987,             0.73344,             0.26837,             0.30636,             0.24056,            0.026222,            0.045911,            0.040168,           0.0098213,           0.0098213,           0.0098213
                  47,            0.027717,            0.038338,            0.021755,             0.73853,             0.27196,             0.31288,             0.24802,            0.026316,            0.045518,            0.039672,           0.0098133,           0.0098133,           0.0098133
                  48,            0.027659,            0.038225,            0.021117,             0.78592,             0.25924,             0.31405,             0.24825,            0.026242,            0.045739,            0.039517,           0.0098052,           0.0098052,           0.0098052
                  49,            0.027931,            0.038609,            0.021259,             0.75212,             0.26726,             0.31368,             0.24729,            0.026292,            0.045824,            0.039566,           0.0097969,           0.0097969,           0.0097969
                  50,            0.027789,            0.038586,            0.020922,             0.70241,              0.2905,              0.3138,              0.2461,            0.026275,            0.045565,            0.039331,           0.0097884,           0.0097884,           0.0097884
                  51,            0.027788,            0.038403,            0.020692,             0.73792,             0.27291,             0.31982,             0.25121,            0.026264,             0.04564,            0.039252,           0.0097798,           0.0097798,           0.0097798
                  52,             0.02752,            0.038446,            0.020406,              0.7047,             0.28865,             0.32598,             0.25834,            0.026237,            0.045782,            0.039221,           0.0097709,           0.0097709,           0.0097709
                  53,            0.027586,            0.038252,            0.020198,             0.72668,             0.28244,             0.32788,              0.2586,            0.026213,            0.045775,            0.038965,           0.0097619,           0.0097619,           0.0097619
                  54,             0.02749,             0.03797,             0.02012,             0.74734,             0.28197,             0.33605,             0.26624,            0.026247,            0.045928,            0.039016,           0.0097528,           0.0097528,           0.0097528
                  55,            0.027471,            0.038121,            0.019965,             0.74247,             0.29141,              0.3395,             0.26823,            0.026271,            0.045929,             0.03902,           0.0097435,           0.0097435,           0.0097435
                  56,            0.027561,            0.037844,            0.019566,             0.71454,             0.29961,             0.34664,              0.2741,            0.026286,            0.045903,            0.039128,            0.009734,            0.009734,            0.009734
                  57,            0.027705,             0.03792,            0.019553,               0.751,             0.28983,             0.35273,             0.27891,            0.026273,            0.045738,            0.039032,           0.0097243,           0.0097243,           0.0097243
                  58,            0.027426,            0.037935,            0.019445,             0.70938,             0.31116,             0.35774,             0.28397,            0.026279,            0.045623,            0.039079,           0.0097145,           0.0097145,           0.0097145
                  59,            0.027277,            0.037863,            0.019106,             0.70001,             0.31315,             0.36264,             0.28834,            0.026262,            0.045718,            0.039338,           0.0097045,           0.0097045,           0.0097045
